Date,Branch,Customer Type,Total
2019-02-01,C,Normal,218.0115
2019-03-28,A,Normal,367.038
2019-03-19,B,Normal,223.0725
2019-01-12,A,Member,931.035
2019-01-05,C,Normal,172.494
2019-03-22,A,Normal,391.419
2019-03-24,C,Normal,321.111
2019-03-03,C,Member,860.685
2019-02-05,B,Member,34.629
2019-02-05,C,Member,309.3615
2019-02-15,B,Normal,535.374
2019-01-19,A,Member,548.7615
2019-02-01,C,Member,763.4655
2019-03-02,C,Normal,85.113
2019-03-05,B,Member,115.185
2019-01-16,B,Member,53.928
2019-02-02,A,Normal,115.08
2019-01-20,B,Normal,112.224
2019-02-14,A,Normal,836.304
2019-01-12,C,Member,419.832
2019-03-09,B,Member,944.622
2019-03-13,C,Member,536.844
2019-03-09,B,Member,474.348
2019-03-10,A,Normal,688.6215
2019-01-27,A,Normal,169.3125
2019-01-08,C,Normal,299.8485
2019-01-08,C,Member,575.736
2019-02-08,B,Normal,853.146
2019-01-25,B,Normal,291.207
2019-03-06,A,Member,580.419
2019-02-10,B,Normal,146.328
2019-02-17,B,Member,550.935
2019-03-08,C,Normal,512.19
2019-02-18,C,Normal,284.193
2019-01-18,A,Normal,138.1275
2019-02-18,A,Member,216.846
2019-02-16,B,Normal,545.055
2019-03-16,A,Normal,609.0
2019-01-23,C,Member,942.9
2019-01-25,C,Member,950.25
2019-02-05,C,Member,720.3
2019-02-22,C,Member,31.9305
2019-01-21,A,Normal,491.085
2019-03-08,C,Normal,291.438
2019-02-10,A,Member,316.47
2019-03-19,C,Normal,277.788
2019-03-06,B,Member,603.624
2019-03-27,A,Normal,272.664
2019-03-23,B,Member,384.468
2019-03-11,C,Member,254.016
2019-01-29,A,Normal,786.618
2019-02-07,C,Normal,103.824
2019-01-28,C,Normal,680.148
2019-02-20,A,Member,484.5225
2019-01-04,B,Member,75.7785
2019-03-07,B,Normal,263.97
2019-03-30,B,Member,918.729
2019-03-27,B,Normal,588.357
2019-01-19,C,Normal,362.712
2019-02-25,A,Normal,66.8745
2019-03-13,A,Normal,336.5565
2019-01-30,C,Normal,160.44
2019-02-20,B,Normal,418.95
2019-02-25,B,Member,357.588
2019-01-16,C,Normal,1003.59
2019-02-08,A,Normal,1039.29
2019-01-19,A,Normal,323.064
2019-02-01,A,Member,510.972
2019-01-03,A,Normal,367.5525
2019-01-26,B,Member,420.2625
2019-03-03,C,Normal,175.14
2019-01-19,B,Member,333.207
2019-01-18,B,Normal,166.236
2019-03-21,A,Member,319.788
2019-03-03,A,Member,186.228
2019-02-13,C,Normal,165.4485
2019-03-23,A,Normal,465.444
2019-01-28,C,Member,273.42
2019-02-09,C,Normal,472.311
2019-01-23,C,Member,323.148
2019-03-23,A,Member,162.75
2019-01-25,C,Normal,288.204
2019-03-04,A,Normal,90.699
2019-03-05,B,Member,56.952
2019-03-03,B,Member,793.716
2019-02-08,B,Member,195.174
2019-02-10,A,Normal,77.7735
2019-01-28,C,Normal,293.202
2019-02-11,B,Normal,242.676
2019-01-15,B,Normal,154.392
2019-03-16,C,Normal,829.71
2019-01-26,B,Normal,107.31
2019-03-19,A,Normal,171.7275
2019-01-13,C,Member,78.0045
2019-03-26,C,Member,91.77
2019-03-23,A,Normal,26.5545
2019-03-12,C,Normal,174.3
2019-02-17,C,Member,374.7975
2019-01-29,C,Member,120.645
2019-03-15,B,Member,241.458
2019-01-14,C,Normal,451.3635
2019-02-06,B,Member,271.95
2019-02-15,B,Member,93.2925
2019-01-03,A,Normal,217.6335
2019-01-04,C,Member,629.8425
2019-03-18,C,Member,299.565
2019-03-28,B,Normal,95.6655
2019-03-02,B,Normal,942.4485
2019-01-25,A,Normal,247.8735
2019-01-16,C,Normal,881.307
2019-03-20,B,Normal,484.89
2019-01-04,B,Normal,146.223
2019-03-11,B,Member,217.6335
2019-03-22,A,Normal,19.194
2019-03-24,B,Normal,130.0425
2019-02-21,A,Member,298.116
2019-02-12,B,Normal,796.908
2019-03-10,B,Normal,180.621
2019-01-31,B,Normal,285.705
2019-03-06,B,Normal,456.288
2019-02-17,C,Normal,62.0025
2019-02-21,C,Member,13.167
2019-03-20,A,Normal,90.825
2019-01-11,C,Member,183.036
2019-01-26,B,Member,655.5465
2019-01-31,C,Member,155.652
2019-02-26,B,Member,571.41
2019-03-11,A,Normal,532.728
2019-01-26,B,Normal,170.877
2019-03-12,B,Member,33.3585
2019-02-11,B,Normal,794.6505
2019-02-21,B,Member,310.044
2019-03-09,A,Member,545.37
2019-01-20,A,Normal,195.594
2019-01-28,C,Normal,91.4025
2019-03-05,C,Member,232.155
2019-03-02,B,Member,69.405
2019-01-11,A,Normal,94.1745
2019-01-11,A,Normal,235.683
2019-03-11,A,Normal,125.517
2019-02-28,C,Member,195.72
2019-01-05,A,Member,263.13
2019-02-02,B,Normal,788.508
2019-01-01,A,Member,399.756
2019-02-09,B,Member,256.41
2019-01-23,A,Member,94.185
2019-01-07,A,Member,326.424
2019-01-14,B,Normal,536.991
2019-02-02,B,Member,439.8975
2019-03-17,C,Member,369.495
2019-03-02,C,Normal,30.219
2019-03-16,A,Normal,99.75
2019-01-06,A,Member,494.76
2019-01-29,B,Member,137.004
2019-01-31,A,Member,69.6675
2019-02-05,A,Member,163.233
2019-02-13,A,Member,135.45
2019-02-07,C,Member,276.948
2019-03-19,A,Normal,709.317
2019-03-07,C,Normal,69.09
2019-03-13,B,Member,160.86
2019-02-09,A,Member,233.52
2019-02-26,B,Normal,57.1725
2019-03-12,A,Member,723.24
2019-03-14,C,Normal,148.974
2019-01-08,B,Member,783.3
2019-01-05,A,Member,297.108
2019-01-04,A,Member,373.17
2019-03-06,B,Normal,354.0075
2019-01-03,C,Member,44.352
2019-01-07,A,Member,203.553
2019-01-27,A,Normal,25.263
2019-02-26,B,Normal,628.173
2019-01-07,B,Normal,352.5795
2019-01-07,C,Member,229.11
2019-02-02,C,Normal,400.764
2019-03-20,C,Member,745.395
2019-03-20,A,Member,462.21
2019-02-15,A,Normal,587.664
2019-03-06,C,Normal,38.85
2019-01-06,A,Normal,16.107
2019-03-04,A,Member,628.929
2019-03-12,A,Member,200.214
2019-02-20,B,Normal,350.07
2019-03-24,C,Member,78.603
2019-01-31,C,Normal,224.4375
2019-01-25,B,Normal,356.5485
2019-02-03,A,Member,697.368
2019-01-24,B,Member,423.15
2019-03-14,C,Normal,204.6975
2019-02-18,A,Member,65.604
2019-01-21,A,Member,76.356
2019-03-13,B,Normal,190.155
2019-03-03,C,Member,272.58
2019-03-29,C,Normal,121.128
2019-01-10,A,Member,493.794
2019-01-25,A,Member,252.042
2019-01-19,C,Member,93.0405
2019-01-02,C,Normal,209.622
2019-03-12,B,Member,40.9605
2019-02-25,C,Normal,51.0405
2019-03-18,A,Normal,214.998
2019-02-23,B,Normal,125.664
2019-03-26,A,Member,530.67
2019-03-30,A,Normal,295.6905
2019-02-17,A,Member,745.836
2019-03-21,A,Member,83.412
2019-03-05,A,Normal,172.011
2019-01-31,B,Member,503.559
2019-02-05,C,Member,145.593
2019-02-01,A,Member,74.7075
2019-03-07,A,Member,146.9475
2019-02-10,C,Member,820.365
2019-02-14,C,Member,208.677
2019-02-09,C,Member,66.402
2019-01-10,C,Member,392.6475
2019-03-11,C,Member,218.0745
2019-02-18,C,Member,185.094
2019-02-26,C,Normal,216.6885
2019-01-18,C,Normal,41.391
2019-02-15,A,Normal,96.138
2019-03-08,A,Normal,324.2925
2019-01-17,A,Normal,135.576
2019-03-12,B,Normal,410.508
2019-03-09,A,Member,523.845
2019-03-12,C,Member,395.892
2019-01-25,B,Member,214.746
2019-03-25,A,Member,152.712
2019-02-07,B,Normal,208.089
2019-02-17,A,Normal,103.635
2019-02-03,A,Normal,404.355
2019-03-14,A,Member,49.308
2019-03-24,C,Member,77.175
2019-03-21,A,Member,149.3625
2019-03-19,A,Normal,721.98
2019-02-24,B,Normal,365.085
2019-03-28,C,Normal,150.0975
2019-02-05,B,Member,404.649
2019-02-10,B,Member,151.4835
2019-03-05,B,Member,411.3795
2019-02-15,B,Member,565.215
2019-01-30,C,Normal,509.4075
2019-02-14,A,Normal,140.6475
2019-02-27,A,Normal,736.4385
2019-02-04,A,Member,75.5475
2019-01-20,C,Member,749.7
2019-03-28,A,Normal,191.247
2019-02-27,B,Normal,141.75
2019-02-15,C,Member,1042.65
2019-01-26,A,Normal,379.9215
2019-03-14,B,Member,402.2655
2019-03-02,B,Member,255.15
2019-03-04,C,Normal,31.752
2019-01-07,B,Member,374.388
2019-03-08,C,Normal,394.275
2019-01-09,C,Normal,1002.12
2019-03-01,B,Normal,86.625
2019-03-16,B,Normal,78.7185
2019-02-17,A,Member,680.064
2019-02-27,C,Normal,793.548
2019-03-07,C,Normal,209.559
2019-01-21,A,Normal,461.286
2019-02-19,C,Normal,173.208
2019-01-06,C,Normal,343.056
2019-03-14,C,Normal,484.974
2019-03-24,A,Member,276.948
2019-01-27,C,Normal,150.78
2019-03-06,A,Member,203.175
2019-02-02,B,Member,193.011
2019-01-25,B,Normal,128.016
2019-03-14,C,Normal,441.693
2019-01-29,C,Normal,265.104
2019-01-03,A,Normal,352.2225
2019-01-14,A,Member,507.675
2019-01-05,B,Member,334.341
2019-02-22,C,Normal,701.8515
2019-02-06,C,Member,407.316
2019-01-30,B,Normal,99.33
2019-01-11,A,Member,345.786
2019-03-19,C,Normal,55.881
2019-01-14,B,Normal,523.3725
2019-03-01,C,Member,314.538
2019-01-06,A,Normal,214.935
2019-01-31,B,Member,79.611
2019-03-11,C,Normal,294.651
2019-02-20,A,Normal,339.36
2019-01-27,C,Member,510.9615
2019-03-10,B,Normal,133.917
2019-02-15,C,Member,253.512
2019-01-26,B,Normal,398.475
2019-02-13,A,Member,80.661
2019-03-09,A,Member,548.73
2019-03-06,A,Normal,83.727
2019-01-24,A,Normal,406.875
2019-03-13,A,Normal,284.9175
2019-03-15,B,Normal,128.4255
2019-03-05,B,Member,258.678
2019-03-04,B,Member,181.818
2019-03-25,C,Normal,248.409
2019-03-12,C,Normal,194.124
2019-02-04,C,Member,14.679
2019-02-22,B,Normal,208.6875
2019-02-16,C,Member,718.7565
2019-01-19,A,Member,282.492
2019-01-11,A,Normal,72.3975
2019-01-04,B,Member,288.582
2019-03-04,A,Normal,237.426
2019-01-28,C,Normal,125.055
2019-01-02,B,Normal,359.205
2019-01-25,B,Normal,45.927
2019-01-04,A,Member,110.0925
2019-03-10,A,Normal,81.396
2019-03-22,A,Normal,427.812
2019-01-25,B,Normal,100.9155
2019-01-08,C,Normal,190.596
2019-01-22,C,Member,85.5855
2019-01-12,B,Normal,120.162
2019-02-04,A,Member,185.367
2019-03-28,C,Member,121.59
2019-01-23,C,Normal,264.7575
2019-02-08,C,Member,1020.705
2019-03-19,B,Member,213.528
2019-03-09,C,Normal,17.094
2019-01-02,B,Member,383.7645
2019-01-21,A,Member,390.7995
2019-03-20,B,Member,65.7405
2019-02-27,B,Normal,353.1675
2019-03-08,A,Member,951.825
2019-01-31,B,Normal,145.068
2019-03-08,C,Normal,90.867
2019-01-13,A,Normal,147.798
2019-03-09,B,Normal,702.219
2019-02-22,B,Normal,49.812
2019-03-19,C,Normal,937.818
2019-01-20,C,Member,348.306
2019-03-08,A,Normal,214.137
2019-03-08,C,Member,71.568
2019-02-07,C,Normal,343.224
2019-01-15,C,Member,91.56
2019-03-22,B,Member,742.812
2019-01-15,A,Member,843.0345
2019-01-08,C,Normal,13.419
2019-01-15,A,Normal,140.385
2019-01-28,B,Member,20.1075
2019-02-14,C,Member,290.43
2019-03-10,C,Normal,144.081
2019-01-12,B,Member,28.4235
2019-03-26,B,Member,41.076
2019-01-01,B,Normal,470.673
2019-01-02,B,Normal,138.663
2019-03-16,A,Normal,333.9525
2019-03-03,A,Normal,26.25
2019-01-31,A,Member,87.234
2019-02-13,B,Member,155.19
2019-02-15,B,Member,731.43
2019-02-07,B,Normal,833.595
2019-01-27,C,Member,488.985
2019-02-23,C,Normal,37.6845
2019-02-03,C,Normal,212.73
2019-03-03,B,Member,767.025
2019-02-03,C,Normal,310.59
2019-03-17,C,Member,23.751
2019-03-28,A,Member,269.535
2019-03-02,C,Member,572.775
2019-02-08,C,Member,273.0525
2019-03-22,B,Normal,233.226
2019-02-09,C,Normal,22.659
2019-02-15,C,Member,103.782
2019-01-23,C,Member,527.751
2019-01-25,A,Member,168.21
2019-02-02,A,Member,452.865
2019-03-30,B,Member,609.588
2019-03-30,A,Member,338.31
2019-02-25,A,Normal,205.317
2019-03-18,A,Normal,174.615
2019-03-07,C,Normal,353.094
2019-03-16,B,Normal,360.885
2019-01-29,A,Normal,40.53
2019-02-02,C,Normal,554.148
2019-02-15,C,Normal,344.4
2019-01-08,A,Normal,194.985
2019-02-12,B,Member,633.99
2019-01-01,C,Member,388.29
2019-03-21,B,Member,207.858
2019-02-28,B,Normal,431.445
2019-03-23,A,Normal,156.03
2019-01-30,C,Normal,24.108
2019-02-04,B,Member,734.076
2019-03-13,B,Normal,72.87
2019-03-15,A,Member,206.43
2019-03-05,B,Member,212.688
2019-03-05,C,Member,127.26
2019-02-26,B,Normal,209.769
2019-03-20,B,Normal,637.728
2019-01-01,C,Normal,132.762
2019-01-27,C,Normal,568.512
2019-01-21,B,Member,103.0365
2019-02-02,A,Member,432.768
2019-02-03,B,Member,77.6685
2019-01-05,C,Member,33.495
2019-01-27,C,Normal,145.74
2019-03-25,B,Normal,195.951
2019-02-25,B,Normal,92.8725
2019-01-28,A,Member,203.112
2019-01-08,B,Member,152.775
2019-01-29,B,Normal,529.515
2019-03-29,B,Member,321.7725
2019-02-09,C,Member,100.485
2019-01-16,B,Member,666.939
2019-01-05,A,Normal,225.2775
2019-01-27,A,Normal,398.958
2019-03-14,A,Normal,731.6925
2019-02-23,C,Member,429.1665
2019-03-18,C,Member,54.0435
2019-03-29,B,Member,288.015
2019-01-22,C,Member,206.7975
2019-03-01,A,Normal,72.933
2019-01-17,C,Member,377.58
2019-03-26,B,Normal,143.9865
2019-03-20,C,Member,523.971
2019-02-06,A,Member,235.872
2019-01-01,C,Normal,132.027
2019-01-27,A,Normal,514.773
2019-02-25,A,Member,479.9025
2019-01-16,B,Normal,164.682
2019-01-13,B,Member,125.706
2019-02-07,B,Member,570.78
2019-02-17,A,Normal,926.9505
2019-02-12,A,Normal,160.209
2019-01-24,A,Member,728.112
2019-02-06,B,Normal,240.975
2019-03-26,C,Normal,154.1295
2019-03-11,A,Normal,148.68
2019-02-07,C,Normal,122.5245
2019-01-05,B,Member,77.658
2019-03-07,A,Normal,102.837
2019-02-25,A,Normal,306.81
2019-02-01,C,Member,551.124
2019-01-22,A,Normal,96.642
2019-01-03,C,Member,79.674
2019-02-13,B,Member,84.756
2019-01-28,C,Member,118.251
2019-01-05,B,Normal,74.76
2019-03-19,B,Member,163.002
2019-01-12,A,Normal,308.91
2019-01-07,A,Normal,575.9775
2019-01-26,B,Normal,270.585
2019-01-23,A,Normal,416.178
2019-02-09,B,Normal,180.4005
2019-02-22,B,Normal,513.2295
2019-02-05,B,Normal,550.368
2019-03-07,C,Normal,139.923
2019-03-25,A,Member,142.002
2019-01-20,B,Normal,118.062
2019-02-04,B,Member,151.284
2019-01-30,C,Member,1034.46
2019-01-02,A,Member,262.458
2019-03-29,A,Member,228.123
2019-03-14,B,Normal,203.931
2019-02-11,C,Normal,936.6
2019-01-30,B,Normal,356.328
2019-03-20,A,Member,469.413
2019-03-20,B,Normal,208.425
2019-01-17,A,Normal,852.705
2019-02-03,C,Normal,517.965
2019-01-01,A,Normal,621.243
2019-01-10,B,Normal,586.971
2019-03-02,C,Normal,543.753
2019-02-25,B,Member,430.71
2019-01-29,B,Member,280.035
2019-03-10,A,Member,74.4555
2019-01-13,B,Normal,152.019
2019-03-22,A,Normal,451.0275
2019-03-01,B,Member,597.6285
2019-02-20,B,Normal,253.26
2019-01-14,C,Normal,133.434
2019-03-26,A,Normal,269.934
2019-03-01,B,Normal,145.971
2019-01-07,C,Normal,85.743
2019-02-01,A,Member,326.256
2019-02-13,C,Member,195.258
2019-01-14,B,Member,75.936
2019-01-19,B,Normal,198.639
2019-03-09,A,Normal,217.182
2019-03-27,A,Normal,164.871
2019-02-04,A,Normal,226.065
2019-03-14,C,Normal,625.905
2019-03-04,A,Normal,76.755
2019-03-03,C,Member,293.139
2019-01-27,C,Member,178.164
2019-02-07,A,Member,47.859
2019-02-05,A,Member,236.88
2019-03-15,B,Member,304.92
2019-03-01,B,Normal,46.683
2019-02-15,A,Normal,164.43
2019-02-17,C,Normal,440.937
2019-01-26,C,Normal,193.4625
2019-03-24,A,Member,147.672
2019-01-23,C,Normal,87.234
2019-01-26,C,Normal,68.2395
2019-03-14,C,Normal,814.38
2019-03-17,B,Normal,343.413
2019-01-08,C,Member,381.3915
2019-02-08,B,Normal,133.35
2019-02-10,A,Member,394.3275
2019-03-28,C,Member,209.118
2019-01-23,A,Normal,32.1405
2019-01-17,B,Member,121.569
2019-02-07,A,Normal,30.408
2019-03-09,C,Member,935.2665
2019-01-24,B,Member,293.643
2019-01-19,C,Member,84.9765
2019-02-03,A,Member,708.225
2019-03-20,A,Member,365.904
2019-01-13,B,Member,457.38
2019-03-14,C,Member,461.5275
2019-01-23,A,Member,620.739
2019-02-07,C,Member,273.798
2019-03-28,A,Normal,225.792
2019-03-20,A,Member,96.1905
2019-01-17,B,Member,695.2365
2019-01-12,B,Normal,874.125
2019-02-16,B,Member,95.9175
2019-01-26,B,Member,165.648
2019-03-09,A,Normal,127.827
2019-03-14,B,Member,867.09
2019-01-25,A,Member,167.895
2019-01-26,A,Normal,12.6945
2019-01-19,A,Normal,673.995
2019-03-05,A,Normal,246.6765
2019-01-15,A,Member,175.917
2019-03-18,B,Normal,314.055
2019-03-20,B,Member,251.7165
2019-01-15,B,Member,697.935
2019-03-03,A,Normal,212.7825
2019-03-19,C,Normal,48.51
2019-03-08,B,Member,92.5575
2019-02-27,B,Normal,165.123
2019-02-23,B,Member,311.1885
2019-03-19,C,Member,743.82
2019-03-27,B,Member,116.907
2019-03-30,C,Member,609.168
2019-02-16,C,Member,63.2625
2019-01-18,A,Member,182.952
2019-03-30,C,Normal,442.323
2019-03-20,B,Member,35.3115
2019-01-16,C,Member,32.529
2019-02-24,C,Normal,259.77
2019-01-15,B,Normal,397.215
2019-01-22,B,Normal,351.603
2019-02-03,A,Member,764.19
2019-03-06,B,Member,352.674
2019-02-16,B,Member,252.756
2019-03-14,A,Normal,49.4235
2019-02-27,C,Normal,104.6745
2019-01-18,A,Member,277.6725
2019-01-29,A,Member,146.6325
2019-02-26,A,Member,58.2225
2019-02-03,B,Normal,135.3555
2019-01-16,C,Member,125.979
2019-03-24,B,Member,370.125
2019-02-12,C,Member,914.55
2019-02-21,C,Normal,207.48
2019-02-04,A,Normal,204.246
2019-02-20,B,Member,181.881
2019-02-23,B,Normal,75.474
2019-02-16,C,Member,300.573
2019-01-17,B,Normal,85.302
2019-01-14,A,Member,588.42
2019-03-30,B,Member,196.14
2019-03-02,B,Normal,231.2415
2019-02-15,C,Normal,282.576
2019-03-01,A,Normal,477.54
2019-02-24,B,Member,175.917
2019-02-19,B,Member,470.988
2019-02-23,A,Member,308.574
2019-02-07,C,Normal,618.975
2019-01-11,A,Member,305.55
2019-02-12,B,Member,41.454
2019-01-14,B,Normal,36.5505
2019-01-09,C,Normal,310.716
2019-02-27,A,Member,45.108
2019-01-24,B,Member,145.404
2019-01-08,B,Member,103.11
2019-01-08,B,Member,136.143
2019-01-16,A,Member,667.38
2019-03-13,C,Member,153.048
2019-02-15,A,Normal,211.365
2019-01-25,C,Member,663.2955
2019-03-12,C,Member,404.544
2019-03-04,A,Member,510.615
2019-02-10,C,Member,539.343
2019-01-16,C,Normal,497.07
2019-01-29,A,Member,458.6925
2019-01-01,A,Member,113.568
2019-01-06,B,Normal,261.198
2019-02-19,A,Member,657.531
2019-01-12,C,Normal,1023.75
2019-02-07,C,Normal,507.444
2019-03-27,B,Normal,101.808
2019-02-27,B,Member,207.585
2019-01-06,B,Member,760.4415
2019-03-02,B,Member,835.2855
2019-03-29,B,Normal,527.5095
2019-01-31,B,Normal,180.6
2019-01-21,C,Member,72.429
2019-01-20,C,Normal,131.208
2019-01-17,A,Normal,80.955
2019-02-28,A,Member,507.906
2019-03-19,C,Member,317.226
2019-02-19,C,Normal,733.6035
2019-02-04,C,Normal,130.8825
2019-01-31,C,Member,829.08
2019-02-06,A,Normal,187.32
2019-03-28,A,Member,525.231
2019-01-19,A,Member,37.611
2019-02-17,A,Normal,142.947
2019-01-18,B,Member,110.124
2019-02-02,B,Normal,187.866
2019-01-18,C,Member,856.4535
2019-03-18,B,Normal,138.978
2019-01-11,C,Member,270.2595
2019-02-04,B,Member,98.028
2019-02-06,C,Member,239.4
2019-01-08,C,Member,175.0455
2019-03-05,B,Normal,732.27
2019-03-16,C,Normal,408.492
2019-03-09,B,Member,383.523
2019-03-01,A,Member,93.744
2019-02-28,A,Normal,176.4
2019-02-08,A,Member,20.685
2019-01-24,B,Normal,557.718
2019-03-01,B,Member,56.406
2019-03-10,C,Member,860.475
2019-03-23,C,Member,596.82
2019-01-29,C,Normal,616.98
2019-01-12,B,Member,769.104
2019-03-20,A,Normal,887.922
2019-03-23,C,Normal,408.7335
2019-01-14,C,Normal,89.0715
2019-02-12,A,Member,150.423
2019-02-20,A,Member,79.149
2019-01-02,C,Member,266.028
2019-02-02,C,Member,40.341
2019-01-08,B,Member,684.915
2019-01-30,C,Member,55.2825
2019-03-26,B,Member,116.1405
2019-01-15,C,Member,597.0405
2019-03-14,B,Member,93.744
2019-02-03,A,Normal,143.22
2019-02-22,A,Member,182.91
2019-01-24,B,Normal,384.72
2019-01-25,C,Member,267.3405
2019-03-09,A,Normal,817.236
2019-02-17,B,Member,300.216
2019-01-11,A,Normal,608.076
2019-02-27,A,Member,197.925
2019-03-25,A,Normal,232.638
2019-02-11,B,Member,810.6
2019-01-31,B,Normal,757.365
2019-01-20,A,Member,536.592
2019-03-26,A,Member,56.1225
2019-01-20,A,Member,233.1
2019-03-05,B,Normal,801.864
2019-01-05,C,Normal,239.589
2019-02-13,B,Normal,86.247
2019-03-16,B,Normal,401.688
2019-01-15,A,Normal,72.009
2019-02-26,B,Member,401.268
2019-02-27,C,Member,631.1445
2019-02-17,C,Member,499.7265
2019-02-06,C,Normal,55.041
2019-01-17,C,Member,137.865
2019-01-22,B,Normal,151.515
2019-03-05,C,Member,480.0285
2019-01-03,B,Normal,98.049
2019-03-20,C,Member,132.5625
2019-01-31,B,Member,830.3715
2019-02-19,C,Normal,183.12
2019-02-11,A,Normal,397.992
2019-02-05,A,Member,32.151
2019-03-03,C,Normal,369.684
2019-02-24,C,Member,53.34
2019-02-04,A,Normal,548.163
2019-02-19,C,Normal,603.876
2019-01-23,C,Normal,57.6975
2019-01-14,C,Member,190.4805
2019-01-17,A,Normal,432.9885
2019-03-03,A,Normal,48.7305
2019-02-15,C,Member,287.91
2019-01-15,B,Normal,1022.385
2019-02-27,A,Member,680.61
2019-02-26,A,Normal,97.881
2019-03-15,B,Normal,57.078
2019-01-24,C,Member,63.9135
2019-02-22,A,Member,257.145
2019-03-15,B,Normal,97.419
2019-02-11,C,Member,455.1225
2019-01-12,B,Normal,144.963
2019-03-03,C,Member,253.68
2019-03-23,C,Member,495.3165
2019-03-04,A,Member,462.672
2019-02-23,B,Member,714.3255
2019-03-17,A,Normal,325.374
2019-01-16,A,Normal,195.678
2019-01-08,A,Normal,210.966
2019-01-14,B,Normal,18.6375
2019-01-31,C,Normal,652.89
2019-03-15,B,Normal,90.3
2019-02-24,A,Normal,422.73
2019-02-08,C,Member,341.0925
2019-03-22,A,Normal,99.9075
2019-01-24,A,Member,408.408
2019-03-14,B,Normal,446.964
2019-01-23,C,Normal,333.984
2019-01-19,A,Normal,284.592
2019-01-27,B,Member,403.872
2019-02-03,B,Member,247.59
2019-03-25,B,Normal,222.138
2019-02-24,A,Member,100.128
2019-02-07,C,Member,10.6785
2019-03-04,A,Normal,216.4365
2019-02-14,B,Member,441.588
2019-01-29,A,Member,92.442
2019-01-28,B,Member,681.4395
2019-03-26,A,Member,130.032
2019-03-24,C,Normal,681.975
2019-01-01,A,Member,779.31
2019-01-24,A,Normal,88.704
2019-02-25,B,Normal,262.794
2019-01-09,B,Member,99.54
2019-02-14,A,Member,95.865
